Aprasymas;Kaina
Nauji šakių prailgintuvai;250
Traktorinių variklių  purkštuvai;50
MARTZ  PRIEKABA HOCHLADER;2000
MARTZ PRIEKABA UNILADER 300-170;1450
PLATFORMOS NUOMA ! PLATFORMOS MATMENYS: ILGIS 5m PLOTIS 2.10m. Keliamoji galia 2000kg ( Patogu vežti lentas, kubilus, metalo gaminius, traktoriukus;20
Žemės ukio technikos pervežimas iki 4,5 t;30
* 865936773, Bobcat šluotos nuoma Vilniuje, PUIKI KAINA;0
* 865936773, Kultivatoriaus nuoma Vilniuje, kaina 70 eur;0
* 865936773, Planiravimo kaušo nuoma Vilniuje, BEST PRICE;0
865936773, Hidraulinio kūjo nuoma Vilniuje, kaina 130 eur;0
865936773, Kasimo technikos nuoma Vilniuje, kaina 35eur,;0
MARTZ PREMIUM PRIEKABOS - PRISTATOME Į NAMUS;1060
MARTZ PREMIUM PRIEKABOS - SU LINGĖM IR AMORTIZATORIAIS;920
Priekabu nuoma vilniuje;10
Traliuku nuoma vilniuje;25
MARTZ PRIEKABOS - DIDELIS PASIRINKIMAS;1490
MARTZ  PRIEKABOS - JUMS;970
MARTZ PRIEKABA 270-130-130;1490
MARTZ PRIEKABA 350-156;1170
*MINI EKSKAVATORIŲ NUOMA, 8-659-07990, BOBCAT NUOMA;35
865936773, Kasimo technikos nuoma Vilniuje, PUIKI KAINA;0
865936773, Miniekskavatorių nuoma Vilniuje, kaina 35 eur;0
865936773, Ekskavatorių nuoma Vilniuje, kaina 50 eur;0
865936773, Miniekskavatorių nuoma Vilniuje, PUIKI KAINA;0
8659-36773, Mini ekskavatoriaus nuoma Vilniuje, kaina 35 eur;0
865936773, Bobcat nuoma Vilniuje, kaina 45  eur;0
8659-36773, Ekskavatorių nuoma Vilniuje, kaina 50 EUR;0
Traktorių ir kitos žemės ūkio technikos pervežimas,tel.860006266;1
*865936773, Kasimo technikos nuoma Vilniuje, SUPER PRICE;0
8659-36773, EKSKAVATORIAUS NUOMA, VILNIUS, KAINA 50 EUR;0
MARTZ PREMIUM PRIEKABOS - PRISTATOME Į NAMUS;1490
MARTZ PREMIUM PRIEKABOS - DIDELIS PASIRINKIMAS;1060
MARTZ PREMIUM PRIEKABOS - PASIŽYMI AUKŠTA KOKYBE;920
TRALIUKŲ NUOMA VILNIUJE;25
MARTZ PREMIUM PRIEKABOS - PASIŽYMI AUKŠTA KOKYBE;1060
* 865936773, Bobcat nuoma Vilniuje, SUPER PRICE;0
865936773, Miniekskavatoriaus nuoma Vilniuje, kaina 35 eur;0
8659-36773, Ekskavatoriaus nuoma Vilniuje, kaina 50 EUR;0
865936773, Bobcat nuoma Vilniuje,;0
8659-36773, Ekskavatoriaus krautuvo nuoma, Vilnius, GERA KAINA;0
* 865936773, Ekskavatoriaus krautuvo nuoma, Vilnius, 50 EUR;0
Ekskavatoriaus nuoma Vilniuje, 8676-49574;0
Ekskavatoriaus nuoma Vilniuje, 867649574;45
Ekskavatorių nuoma Vilniuje, kaina 45 eur, 867649574;45
Ekskavatorių nuoma Vilniuje, 8676-49574;0
* 865936773, Planiravimo kaušo nuoma Vilniuje,;0
* 865936773, Hidraulinio kūjo nuoma Vilniuje,;0
8659-36773, Kultivatoriaus nuoma Vilniuje, kaina 70 EUR;0
* 865936773, Miniekskavatorių nuoma Vilniuje, SUPER PRICE;0
* 865936773, Ekskavatoriaus krautuvo nuoma Vilniuje, 50  EUR;0
8659-36773, Bobcat šluotos nuoma Vilniuje, PUIKI KAINA;0
8659-36773, Planiravimo kaušo nuoma Vilniuje, kaina 50 EUR;0
865936773, Kasimo technikos nuoma Vilniuje, kaina 35 eur;0
Parduodu;800
865936773, Mini ekskavatoriaus nuoma Vilniuje, kaina 35 eur;0
865936773, Bobcat nuoma Vilniuje, kaina 45 eur;0
SYLAND PRIEKABOS - TVIRTOS, ILGAAMŽĖS;1070
MARTZ PREMIUM PRIEKABOS - DIDELIS PASIRINKIMAS;1490
MARTZ PREMIUM PRIEKABOS - PRISTATOME Į NAMUS;1060
MARTZ PREMIUM PRIEKABOS - SU LINGĖM IR AMORTIZATORIAIS;920
Parduodu;13
* 865936773, Miniekskavatorių nuoma Vilniuje,;0
865936773, Ekskavatorių nuoma Vilniuje, PUIKI KAINA;0
8659-36773, Ekskavatoriaus krautuvo nuoma, Vilnius,;0
865936773, Mini ekskavatoriaus nuoma Vilniuje,;0
8659-36773, Ekskavatoriaus krautuvo nuoma, Vilnius, GOOD PRICE;0
8659-36773, EKSKAVATORIAUS NUOMA, VILNIUS,;0
865936773, Miniekskavatoriaus nuoma Vilniuje,;0
* 865936773, Bobcat nuoma Vilniuje,;0
MTZ-50;3500
8659-36773, Ekskavatorių nuoma Vilniuje,;0
865936773, Miniekskavatorių nuoma Vilniuje,;0
Razdatke;30
PRIEKABŲ NUOMA VILNIUJE;15
TRALIUKŲ NUOMA VILNIUJE;30
